,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,Buraidah,0,SA,1579987210,45,26.33,43.98,42.67,10.71
1,Bambous Virieux,75,MU,1579986835,83,-20.34,57.76,77.0,11.41
2,Nyurba,95,RU,1579987210,97,63.28,118.33,-19.19,5.88
3,Yichun,0,CN,1579987210,87,47.7,128.9,-3.42,4.23
4,Praia,61,CV,1579987210,68,14.92,-23.51,72.16,11.54
5,Luyang,100,CN,1579987210,91,27.62,110.1,35.71,4.63
6,Mount Gambier,70,AU,1579986993,92,-37.83,140.77,61.81,5.19
7,Port Alfred,0,ZA,1579986777,97,-33.59,26.89,66.0,1.01
8,Tuktoyaktuk,100,CA,1579986966,96,69.45,-133.04,-14.19,21.0
9,Wanning,100,CN,1579987211,88,18.8,110.4,70.11,6.31
10,Atbasar,100,KZ,1579987211,90,51.8,68.33,10.26,21.43
11,Punta Arenas,0,CL,1579986792,66,-53.15,-70.92,53.01,27.0
12,Dataganj,10,IN,1579987211,64,28.03,79.4,51.31,5.39
13,Mecca,0,SA,1579987211,44,21.43,39.83,61.18,6.24
14,Kapaa,89,US,1579986806,59,22.08,-159.32,73.0,3.0
15,Caravelas,100,BR,1579987119,79,-17.71,-39.25,79.52,18.19
16,Arlit,22,NE,1579987211,8,18.74,7.39,72.5,12.33
17,Vaini,46,TO,1579986607,86,-21.2,-175.2,78.4,21.07
18,Albany,90,US,1579986585,93,42.6,-73.97,41.0,3.65
19,Carutapera,100,BR,1579987211,80,-1.2,-46.02,82.71,13.33
20,Kodiak,80,US,1579987211,81,57.79,-152.41,19.51,23.67
21,Hilo,52,US,1579987022,90,19.73,-155.09,77.0,3.0
22,Coahuayana Viejo,98,MX,1579987211,65,18.73,-103.68,78.51,6.78
23,Shikhany,100,RU,1579987211,97,52.12,47.22,32.18,21.47
24,City of San Pedro,67,PH,1579986939,90,14.35,121.02,77.0,1.01
25,Olenino,81,RU,1579987212,77,56.21,33.49,28.54,12.3
26,Hermanus,29,ZA,1579986608,83,-34.42,19.23,66.0,11.01
27,Norman Wells,100,CA,1579987008,92,65.28,-126.83,-18.09,9.44
28,Hobart,76,AU,1579986889,73,-42.88,147.33,66.99,3.0
29,Rikitea,36,PF,1579986834,77,-23.12,-134.97,78.76,14.61
30,San Cristobal,100,VE,1579987212,96,7.77,-72.22,60.35,2.06
31,Barrow,1,US,1579986901,74,71.29,-156.79,-23.8,9.17
32,South Lake Tahoe,1,US,1579987050,37,38.93,-119.98,61.0,3.02
33,Kutum,0,SD,1579987212,28,14.2,24.67,47.41,7.58
34,Tezu,46,IN,1579987212,63,27.92,96.17,48.83,3.2
35,Nikolskoye,0,RU,1579986980,80,59.7,30.79,30.0,1.01
36,Ushuaia,100,AR,1579987212,57,-54.8,-68.3,47.46,14.94
37,Kavaratti,77,IN,1579987183,66,10.57,72.64,81.25,3.42
38,Moranbah,100,AU,1579987213,92,-22.0,148.05,73.56,11.36
39,Camacupa,100,AO,1579987213,95,-12.02,17.48,65.91,5.82
40,Mossamedes,0,AO,1579987169,78,-15.2,12.15,75.16,12.1
41,Qui Nhon,100,VN,1579987213,94,13.77,109.23,69.44,1.14
42,Rosario do Sul,0,BR,1579987213,25,-30.26,-54.91,92.66,9.37
43,Hualmay,88,PE,1579987213,62,-11.1,-77.61,77.22,5.84
44,Busselton,1,AU,1579986932,61,-33.65,115.33,64.99,9.6
45,Bredasdorp,0,ZA,1579986788,72,-34.53,20.04,66.2,9.17
46,Kumul,0,CN,1579987213,69,42.8,93.45,9.0,3.4
47,Zhigansk,41,RU,1579986956,92,66.77,123.37,-34.89,12.15
48,Palmer,90,US,1579986624,93,42.16,-72.33,45.0,4.7
49,Talnakh,100,RU,1579986946,95,69.49,88.4,2.75,7.27
50,Namatanai,100,PG,1579987213,77,-3.67,152.43,82.8,11.83
51,Kenai,59,US,1579987214,60,60.55,-151.26,9.0,5.99
52,Husavik,90,IS,1579987214,92,66.04,-17.34,30.2,8.05
53,Baillif,0,GP,1579987214,72,16.02,-61.75,78.73,7.58
54,Bondoukou,1,CI,1579987214,10,8.03,-2.8,75.31,3.0
55,Semey,100,KZ,1579987214,91,50.41,80.23,20.68,8.46
56,Chui,45,UY,1579986780,69,-33.7,-53.46,76.3,7.72
57,Hithadhoo,100,MV,1579986815,80,-0.6,73.08,82.6,15.23
58,Mataura,99,NZ,1579986795,72,-46.19,168.86,61.81,1.86
59,Kibala,98,TD,1579987214,25,9.11,18.35,73.4,4.65
60,Tasiilaq,100,GL,1579986942,73,65.61,-37.64,26.6,12.75
61,Moroto,100,UG,1579987214,59,2.53,34.67,72.46,2.66
62,Kintampo,58,GH,1579987214,9,8.06,-1.73,78.98,2.64
63,Linkuva,0,LT,1579987214,93,56.09,23.97,33.8,9.17
64,Murray Bridge,69,AU,1579987214,94,-35.12,139.27,68.0,1.01
65,Borba,100,BR,1579987215,77,-4.39,-59.59,80.82,4.88
66,Moussoro,0,TD,1579987215,15,13.64,16.49,64.11,11.45
67,Dzhebariki-Khaya,23,RU,1579987215,98,62.22,135.8,-48.91,0.36
68,Avarua,98,CK,1579986838,85,-21.21,-159.78,80.29,14.81
69,Turan,100,VN,1579987215,93,16.07,108.22,68.09,1.88
70,Port Macquarie,0,AU,1579987215,81,-31.43,152.92,80.01,1.99
71,Ostrovnoy,43,RU,1579987215,99,68.05,39.51,2.89,5.53
72,Cape Town,37,ZA,1579986784,88,-33.93,18.42,68.0,3.0
73,Khatanga,70,RU,1579986613,90,71.97,102.5,-23.35,3.02
74,Coyhaique,0,CL,1579987215,63,-45.58,-72.07,60.19,14.9
75,Desaguadero,0,PE,1579987215,51,-16.57,-69.04,59.14,14.05
76,Necochea,0,AR,1579987180,67,-38.55,-58.74,73.0,8.01
77,Esperance,74,AU,1579987080,85,-33.87,121.9,65.34,4.59
78,Castro,0,BR,1579987067,53,-24.79,-50.01,77.29,0.98
79,Zhangjiakou Shi Xuanhua Qu,0,CN,1579987215,75,40.61,115.04,17.1,1.74
80,Puerto Ayora,96,EC,1579986831,53,-0.74,-90.35,78.01,5.99
81,Rio Gallegos,100,AR,1579987141,46,-51.62,-69.22,57.9,34.78
82,Fairbanks,100,US,1579987066,73,64.84,-147.72,-4.0,3.0
83,Tabuk,88,PH,1579987216,95,17.42,121.44,69.42,4.21
84,Muzhi,98,RU,1579987216,99,65.37,64.67,-3.35,2.21
85,Cabo San Lucas,31,MX,1579987216,69,22.89,-109.91,75.0,4.0
86,Esim,94,GH,1579987216,77,4.87,-2.24,78.67,4.29
87,Yerbogachen,100,RU,1579987216,94,61.28,108.01,21.65,11.99
88,Ponta do Sol,32,PT,1579986934,62,32.67,-17.1,57.0,1.99
89,Bluff,66,NZ,1579986572,56,-46.6,168.33,63.43,1.54
90,Vestmanna,100,FO,1579987050,87,62.16,-7.17,43.75,17.92
91,Muros,14,ES,1579987216,92,42.78,-9.06,51.01,3.0
92,Paka,43,MY,1579987216,94,4.64,103.44,73.0,1.01
93,Fazilka,2,IN,1579987216,49,30.4,74.03,52.99,5.41
94,La Ronge,100,CA,1579987216,95,55.1,-105.28,26.37,4.85
95,Hope,68,US,1579987217,38,33.67,-93.59,57.99,1.01
96,Port Moresby,20,PG,1579987217,100,-9.44,147.18,75.2,5.82
97,Shakawe,0,BW,1579987217,58,-18.37,21.85,72.91,3.24
98,Saskylakh,100,RU,1579987075,91,71.92,114.08,-16.85,19.26
99,Cockburn Town,0,TC,1579986940,65,21.46,-71.14,76.35,6.38
100,Oktyabrskiy,99,RU,1579987217,95,54.48,53.47,20.62,4.63
101,Kaitangata,91,NZ,1579986968,67,-46.28,169.85,64.99,6.85
102,Hancheng,100,CN,1579987217,71,32.52,112.35,38.52,8.99
103,Abancay,100,PE,1579987217,85,-13.63,-72.88,56.46,4.7
104,Itaqui,0,BR,1579987217,28,-29.13,-56.55,91.54,6.11
105,Dikson,100,RU,1579986939,97,73.51,80.55,-8.45,8.05
106,Cherskiy,100,RU,1579987074,97,68.75,161.3,-23.39,2.71
107,Tarakan,15,ID,1579987123,89,3.3,117.63,77.43,5.14
108,Barranca,32,PE,1579987217,90,-10.75,-77.77,73.51,7.61
109,Portland,75,US,1579986601,64,45.52,-122.68,57.99,4.56
110,Mach,0,PK,1579987218,47,29.86,67.33,49.08,8.16
111,New Norfolk,77,AU,1579986793,67,-42.78,147.06,66.99,1.01
112,Airai,100,TL,1579987218,93,-8.93,125.41,68.27,1.21
113,Juan Lacaze,0,UY,1579987218,52,-34.43,-57.44,87.01,15.7
114,Santander,88,ES,1579987208,89,43.46,-3.8,52.0,7.36
115,Yellowknife,100,CA,1579986928,84,62.46,-114.35,10.0,7.63
116,Mount Isa,100,AU,1579987218,90,-20.73,139.5,74.84,12.5
117,Tynda,41,RU,1579987218,97,55.17,124.72,-26.27,1.23
118,Mabaruma,100,GY,1579987218,65,8.2,-59.78,82.27,7.49
119,Berlevag,100,NO,1579987192,60,70.86,29.09,24.8,32.14
120,Saint-Philippe,90,RE,1579987058,88,-21.36,55.77,77.0,3.36
121,Corner Brook,54,CA,1579987118,82,48.97,-57.95,24.01,3.47
122,Saldanha,33,ZA,1579987085,88,-33.01,17.94,63.48,7.02
123,Indiaroba,97,BR,1579987218,83,-11.52,-37.51,79.2,5.68
124,Christchurch,94,NZ,1579987204,81,-43.53,172.63,66.0,6.78
125,Beringovskiy,100,RU,1579987219,85,63.05,179.32,14.45,10.78
126,Faya,0,SA,1579987219,79,18.39,42.45,49.1,1.25
127,Yerofey Pavlovich,0,RU,1579987219,95,53.97,121.97,-18.72,1.12
128,Dali,0,CN,1579987219,72,25.7,100.18,28.51,2.15
129,Qaanaaq,0,GL,1579986971,46,77.48,-69.36,-13.38,4.99
130,Iberia,87,US,1579987207,80,29.95,-91.75,64.99,5.99
131,Saint-Pierre,90,RE,1579987219,88,-21.34,55.48,77.0,3.36
132,Luwuk,0,ID,1579987219,79,-0.95,122.79,81.27,3.83
133,Marzuq,28,YE,1579986967,80,14.4,46.47,65.62,1.21
134,Yulara,0,AU,1579987219,20,-25.24,130.99,73.49,10.89
135,Faanui,0,PF,1579986618,77,-16.48,-151.75,82.13,12.93
136,Halifax,100,CA,1579986998,86,44.65,-63.57,32.0,7.0
137,Kirakira,0,SB,1579987201,78,-10.45,161.92,80.76,3.11
138,Chapais,100,CA,1579987061,95,49.78,-74.85,27.36,6.6
139,Thompson,100,CA,1579987074,91,55.74,-97.86,21.2,1.25
140,Deloraine,100,AU,1579987220,97,-41.53,146.67,63.0,3.0
141,Mar del Plata,0,AR,1579987066,69,-38.0,-57.56,71.01,11.99
142,Pacific Grove,1,US,1579987220,82,36.62,-121.92,68.0,5.82
143,Severo-Kuril'sk,100,RU,1579987186,91,50.68,156.12,17.74,42.77
144,Sahuaripa,100,MX,1579987220,35,29.05,-109.23,67.53,7.76
145,Luderitz,0,NA,1579987143,91,-26.65,15.16,66.15,15.19
146,Pangnirtung,100,CA,1579987220,99,66.15,-65.71,-36.72,2.37
147,Nome,0,US,1579987051,71,64.5,-165.41,-9.62,7.07
148,Pimenta Bueno,19,BR,1579987220,84,-11.67,-61.19,83.01,4.43
149,Katra,46,IN,1579987221,75,32.98,74.95,45.09,7.23
150,Katsuura,100,JP,1579987096,91,35.13,140.3,39.99,3.0
151,Rawson,0,AR,1579987221,56,-43.3,-65.1,67.98,20.38
152,Kayes,100,ML,1579987221,6,14.0,-11.0,86.09,10.8
153,Bang Saphan,100,TH,1579987221,90,11.21,99.51,72.66,5.35
154,Corinth,91,GR,1579987221,68,37.94,22.96,54.0,1.99
